,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
WerderBremen_6079,36,8,4,2,2,1,1,23,9,8,1,21,2,13,311,77
FSVMainz_6080,33,20,12,4,4,2,3,24,8,6,4,38,4,25,248,61
Schalke_6080,50,15,11,3,7,5,2,50,27,3,1,27,4,20,436,80
VfLWolfsburg_6080,52,17,12,6,3,3,2,40,19,2,3,20,2,20,470,82
Ingolstadt_6080,53,15,13,5,4,5,2,42,15,0,4,23,10,25,398,75
Darmstadt_6080,46,15,12,3,5,5,3,41,17,6,4,18,6,17,342,72
BayerLeverkusen_6080,54,16,12,6,4,3,3,43,17,7,2,29,12,33,414,75
SCFreiburg_6081,45,10,8,2,3,2,3,34,16,3,3,21,7,19,471,81
RBLeipzig_6081,44,14,23,9,7,9,4,38,20,3,7,25,7,27,330,63
BayernMunchen_6093,69,12,18,2,11,7,4,42,28,2,5,21,12,20,667,85
EintrachtFrankfurt_6094,78,13,14,3,6,4,2,36,14,0,5,8,5,26,721,88
BorussiaMonchengladbach_6094,65,11,5,2,2,4,2,29,16,4,1,26,10,32,592,84
FCKoln_6094,34,14,16,9,5,4,3,31,12,4,2,29,3,17,259,68
HamburgerSV_6094,38,20,6,2,3,1,1,32,18,2,1,29,9,24,297,62
HerthaBerlin_6094,41,20,7,6,1,1,1,40,23,5,0,33,4,30,360,69
BorussiaDortmund_6094,66,10,8,1,5,7,2,26,12,3,2,20,11,25,588,83
Augsburg_6095,47,28,18,5,8,4,3,50,27,0,5,20,8,28,358,72
TSGHoffenheim_6095,70,16,20,5,8,5,3,39,19,2,7,18,2,25,557,83
SCFreiburg_6100,65,10,17,8,6,6,1,43,18,0,3,28,8,19,581,82
RBLeipzig_6101,37,13,12,6,4,3,1,46,25,2,2,44,3,24,312,67
BayerLeverkusen_6101,60,14,7,3,4,3,0,41,17,6,0,24,11,22,525,80
VfLWolfsburg_6101,51,18,20,9,6,11,1,30,17,5,5,20,4,24,395,82
Ingolstadt_6101,31,17,13,5,7,5,2,41,20,2,1,39,8,21,276,64
Darmstadt_6101,21,16,5,1,3,2,6,33,21,8,1,34,1,15,200,64
WerderBremen_6101,38,19,9,5,3,4,3,21,10,3,1,27,9,20,373,78
FSVMainz_6102,47,16,11,6,4,7,2,41,21,4,1,18,9,29,367,68
Schalke_6102,51,17,11,4,3,6,1,45,23,0,4,26,4,17,465,77
TSGHoffenheim_6104,72,18,15,4,5,6,1,57,32,2,6,14,7,23,659,83
BorussiaDortmund_6104,50,12,10,9,1,3,0,22,6,8,1,31,8,21,504,84
EintrachtFrankfurt_6104,44,19,9,5,3,4,1,63,34,3,1,22,5,31,307,55
HamburgerSV_6104,52,17,7,0,6,0,0,60,29,3,1,28,3,17,423,78
HerthaBerlin_6105,24,9,2,2,0,2,0,31,11,4,0,22,2,14,276,70
Augsburg_6105,28,16,5,2,2,3,2,43,21,6,1,42,4,24,257,57
FCKoln_6105,33,9,9,5,3,4,1,43,21,7,1,31,3,19,297,72
BorussiaMonchengladbach_6105,58,16,3,1,1,2,2,60,26,4,1,25,9,32,553,74
FSVMainz_6105,60,14,13,6,6,14,2,47,25,6,1,20,9,20,486,76
SCFreiburg_6107,29,27,9,5,3,3,3,45,17,2,1,35,5,19,249,61
Ingolstadt_6108,45,14,8,2,5,3,3,59,29,3,1,28,3,26,427,69
Darmstadt_6108,34,14,4,0,3,5,3,65,25,5,1,26,1,28,299,58
BayernMunchen_6108,69,12,17,8,4,5,3,26,17,1,5,28,8,31,611,85
BayerLeverkusen_6108,63,14,16,6,8,1,2,53,25,3,2,24,12,32,496,74
HerthaBerlin_6108,44,13,6,4,1,1,2,39,19,1,1,35,8,23,404,76
VfLWolfsburg_6108,60,14,11,3,4,2,3,23,18,2,4,29,4,21,522,81
Schalke_6109,57,14,12,5,5,6,1,24,17,0,2,26,5,25,527,83
RBLeipzig_6109,54,16,12,2,6,6,2,44,21,1,4,24,4,13,473,74
Augsburg_6114,44,12,6,2,1,3,3,40,19,8,3,28,10,23,436,74
WerderBremen_6115,60,21,14,7,3,10,1,31,15,0,4,5,8,35,388,73
FCKoln_6115,32,12,5,2,3,3,2,23,12,2,0,38,4,12,325,73
TSGHoffenheim_6115,48,22,20,9,8,5,2,41,18,4,4,20,9,24,418,77
HamburgerSV_6115,58,20,16,3,8,3,6,42,25,3,5,30,1,22,523,78
EintrachtFrankfurt_6115,62,13,14,3,7,4,3,45,24,2,4,23,5,37,515,81
BorussiaDortmund_6115,70,7,10,4,3,9,1,30,13,4,3,19,14,31,702,85
FSVMainz_6116,40,7,8,2,4,3,None,38,19,3,2,32,4,16,377,73
BorussiaMonchengladbach_6116,72,10,12,4,4,5,None,37,24,4,4,33,5,26,812,88
HerthaBerlin_6128,25,22,9,2,5,0,5,21,8,5,2,43,6,19,227,62
Ingolstadt_6129,39,24,9,1,8,3,3,49,20,1,0,28,5,16,338,70
Schalke_6129,49,16,12,3,6,4,3,35,20,4,3,15,7,24,409,80
