,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5345,55,2,3,1,4,2,0,12,0,4
5366,55,2,0,0,8,2,0,17,1,4
5382,57,1,5,5,12,7,0,17,0,4
5387,42,1,2,0,8,1,0,7,1,7
5409,31,0,3,1,5,2,2,17,0,5
5423,47,1,3,1,8,1,1,19,2,2
5443,52,0,3,0,2,0,1,14,1,7
5446,50,2,1,0,8,2,1,20,1,6
5457,43,2,1,1,9,2,1,8,0,6
5470,31,2,0,1,8,3,1,7,1,3
5549,49,3,2,2,2,2,0,12,2,4
5570,37,0,1,1,6,0,0,9,2,10
5578,43,2,1,1,5,2,2,13,3,10
5597,59,1,5,2,8,4,0,17,2,3
5611,52,3,2,5,6,6,1,17,1,4
