,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5338,73,2,4,3,8,4,0,12,0,7
5366,48,2,6,1,10,0,0,7,2,4
5380,63,3,0,3,8,3,0,8,2,4
5401,69,5,3,6,8,3,0,8,1,4
5415,71,4,4,5,6,7,2,10,0,4
5436,54,5,5,1,4,4,0,10,0,7
5447,54,2,3,1,9,5,0,11,1,2
5457,57,1,3,2,7,8,3,12,2,6
5470,69,3,3,3,8,5,2,15,0,3
5548,74,6,3,3,5,5,1,9,1,3
5569,60,5,2,0,5,3,2,12,0,3
5591,63,1,3,3,5,3,0,11,1,6
5606,68,0,3,2,5,1,1,7,2,5
5615,71,3,7,1,5,2,0,9,0,5
5619,68,10,1,5,6,4,0,3,1,4
