,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5340,37,1,3,1,4,2,2,11,0,3
5352,42,2,2,2,10,2,1,16,1,5
5373,40,4,1,1,8,1,1,17,3,7
5401,48,1,5,2,5,1,1,17,0,0
5409,38,1,4,4,3,4,2,13,0,4
5422,60,1,2,6,7,5,1,16,0,6
5443,49,2,1,2,6,0,1,13,3,3
5446,50,2,3,1,7,1,1,20,2,7
5457,44,0,3,2,9,1,1,20,2,9
5470,53,0,8,2,4,2,0,19,2,2
5548,31,1,3,1,2,2,1,8,2,3
5570,42,3,3,1,6,1,1,19,2,3
5576,31,2,0,2,6,0,1,10,2,13
5590,49,1,0,3,9,1,1,13,1,8
5611,41,4,0,3,7,3,0,11,1,7
