,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5345,42,1,2,1,8,1,0,5,4,9
5366,43,3,4,2,5,3,0,16,0,6
5380,37,3,2,3,4,3,1,12,1,7
5401,28,2,2,0,5,2,1,10,1,6
5417,47,0,2,0,10,3,0,17,3,6
5437,37,3,3,0,5,3,1,14,0,10
5446,32,5,1,4,8,4,1,15,1,8
5457,42,2,2,2,2,5,1,15,1,2
5470,44,2,3,3,8,5,1,14,2,5
5548,51,3,4,1,9,3,2,20,0,9
5571,27,2,1,0,5,1,0,12,2,6
5583,67,3,3,3,10,3,0,14,0,8
5590,44,3,0,0,7,0,2,12,2,7
5604,35,0,1,1,4,2,1,4,1,7
5619,56,2,1,4,6,4,2,17,1,15
