,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5338,56,3,1,2,8,2,0,15,1,7
5367,67,3,2,2,4,2,0,11,1,7
5380,63,2,3,2,7,3,1,16,1,3
5388,52,3,5,2,6,6,0,6,1,9
5409,51,3,5,1,7,0,0,12,1,6
5422,73,2,2,4,6,5,0,4,0,5
5443,76,3,2,3,6,5,2,8,0,7
5446,63,2,2,1,2,1,0,12,0,2
5458,55,2,1,0,5,1,0,13,4,9
5470,69,3,3,0,4,1,2,11,2,6
5549,57,3,2,2,7,2,3,12,0,8
5569,74,4,2,4,4,5,0,12,1,8
5577,58,2,0,1,10,0,2,12,1,4
5597,78,3,2,5,5,4,0,9,2,6
5612,62,2,2,4,6,3,2,8,0,6
