,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5339,42,0,4,0,4,0,0,10,2,5
5352,67,1,4,3,N,8,0,11,1,5
5373,64,3,5,4,10,0,0,11,1,5
5401,59,1,3,3,8,3,0,8,1,9
5415,35,1,3,4,9,6,0,17,0,5
5436,55,3,1,2,11,7,1,7,2,4
5450,42,1,3,1,6,0,0,15,2,4
5465,46,2,4,1,9,2,0,10,2,10
5538,31,0,2,1,9,2,0,9,1,3
5555,40,0,1,2,4,3,3,14,0,7
5584,35,3,1,1,9,0,1,10,2,5
5590,48,2,1,0,7,3,0,14,2,6
5604,62,3,4,1,12,2,0,18,0,4
5619,39,2,6,1,7,0,0,7,1,6
