,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5345,47,1,0,2,10,1,1,17,0,15
5368,40,1,0,1,9,4,0,13,0,12
5376,46,0,0,1,9,2,0,18,0,10
5388,46,2,0,0,11,0,1,5,1,4
5409,41,1,1,0,4,0,0,11,1,9
5421,40,2,3,0,8,1,0,17,1,5
5444,46,0,0,1,6,1,0,11,0,12
5465,46,0,1,0,13,0,0,7,4,8
5484,55,2,3,1,9,2,1,5,0,9
5505,48,4,2,2,8,2,2,6,2,5
5520,41,2,3,1,6,3,1,5,1,10
5534,58,6,7,2,6,6,3,9,2,9
5547,54,1,0,0,6,2,3,12,3,10
5570,53,1,1,0,12,0,0,13,1,6
5577,55,2,3,3,9,5,1,7,2,9
5591,44,2,2,0,12,3,1,12,0,8
5594,30,0,1,0,4,1,2,8,1,8
5604,43,0,2,1,7,0,2,12,2,6
5618,21,0,1,1,3,3,2,7,4,5
