,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5346,18,0,3,0,7,0,0,12,0,4
5367,28,3,3,2,8,4,2,9,1,10
5376,29,2,0,1,9,1,0,4,4,10
5387,49,2,3,0,5,2,1,7,0,13
5408,45,2,2,2,7,3,0,15,1,10
5422,51,2,1,2,8,2,4,14,2,1
5442,58,3,3,0,11,1,2,11,2,7
5459,40,2,2,1,10,0,1,14,1,13
5486,44,1,0,1,6,1,3,21,2,5
5506,43,0,1,0,5,1,1,19,0,6
5522,49,1,1,1,10,2,0,19,3,6
5536,47,0,3,0,7,1,0,15,1,4
5549,40,1,1,1,12,2,0,9,0,8
5571,56,0,4,1,10,2,1,16,0,8
5577,47,2,2,0,5,1,1,13,0,12
5590,38,0,2,1,6,2,1,8,4,10
5598,46,2,1,1,12,1,1,7,1,8
5605,61,2,3,0,10,1,0,11,1,3
5618,60,2,2,2,8,2,1,12,0,7
