,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5353,54,1,2,2,13,1,4,12,2,5
5374,59,3,4,3,6,4,2,17,2,8
5380,59,5,0,1,12,2,2,11,0,9
5400,56,1,1,0,12,4,1,14,0,10
5409,56,2,1,0,13,1,2,15,2,6
5422,53,4,3,0,4,3,0,13,3,7
5445,52,2,1,1,8,4,0,22,1,7
5457,57,1,3,1,8,0,2,10,2,8
5479,74,3,5,0,9,1,1,13,1,6
5492,57,1,3,3,11,2,1,15,2,9
5499,66,2,2,0,9,2,1,14,1,3
5515,57,0,3,1,15,2,0,11,2,11
5528,48,1,2,0,10,2,1,20,3,5
5542,44,2,2,0,8,1,2,9,0,4
5568,66,4,1,0,5,2,1,14,1,8
5576,48,2,2,0,9,2,0,7,1,2
5591,54,1,3,2,12,3,1,4,3,8
5598,61,3,1,0,10,0,2,8,2,9
5612,57,4,2,4,4,3,1,7,0,6
