,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5345,54,4,5,4,N,7,3,15,0,1
5365,49,1,3,2,11,2,1,8,2,9
5377,31,1,2,0,10,0,0,7,4,5
5387,51,1,5,0,12,4,0,16,1,5
5408,42,1,2,0,9,1,3,17,0,3
5422,26,2,2,1,5,4,0,17,3,7
5445,48,1,5,1,7,2,2,14,2,6
5456,34,2,3,2,8,1,0,9,0,9
5486,45,1,3,3,8,2,1,18,1,6
5507,53,1,1,1,7,3,0,12,5,10
5519,42,2,1,1,7,3,0,10,0,11
5534,42,2,2,1,12,5,0,11,6,6
5549,44,1,4,1,10,4,2,8,3,11
5569,46,2,1,1,5,4,1,9,0,10
5576,68,6,3,0,10,3,0,10,1,11
5591,55,1,2,1,5,1,0,15,2,4
5599,40,0,6,0,5,2,0,12,0,3
5605,45,1,3,1,9,3,1,16,2,5
5618,46,3,2,1,9,1,1,10,0,9
