,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5352,42,0,0,0,14,2,0,9,1,8
5373,30,2,2,1,8,4,2,14,0,7
5378,46,1,1,0,11,3,0,21,1,9
5388,46,2,1,1,9,3,2,13,1,8
5409,59,1,5,0,8,3,0,16,1,5
5423,52,0,2,0,14,3,0,19,2,9
5443,68,3,3,3,5,4,1,18,1,8
5458,39,2,1,0,10,1,2,15,4,8
5479,58,1,3,0,5,3,0,15,2,2
5492,53,0,4,1,12,5,0,12,0,4
5500,60,3,4,2,2,4,0,23,0,7
5514,41,1,0,0,9,4,1,17,1,10
5533,53,1,4,1,7,1,1,13,2,12
5548,43,0,2,0,10,2,0,13,2,16
5571,44,1,0,0,9,1,3,12,0,8
5577,52,1,1,2,4,3,0,19,0,5
5590,22,0,1,0,7,0,0,6,2,7
5598,39,2,3,2,11,3,0,19,2,10
5612,45,1,3,1,10,1,1,10,1,9
