,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5346,53,0,2,1,9,1,1,10,1,2
5374,22,2,2,2,6,2,0,10,1,8
5380,41,0,1,0,11,2,2,9,3,10
5401,34,1,3,1,5,2,0,6,1,11
5416,36,4,0,1,7,1,1,11,2,12
5437,32,0,1,2,8,1,1,8,1,9
5452,52,0,6,3,10,3,2,18,0,8
5464,36,1,3,1,13,1,1,11,1,12
5484,45,0,3,1,10,2,2,20,2,7
5507,51,2,2,3,8,4,3,17,1,7
5513,42,4,3,1,8,1,0,10,0,10
5529,62,2,2,1,7,3,4,19,2,10
5540,68,1,1,3,8,3,1,16,0,5
5555,30,1,2,0,6,2,2,12,1,10
5572,60,1,3,2,11,4,0,8,2,6
5582,49,1,1,3,11,5,2,16,1,10
5593,54,2,7,0,5,5,1,8,1,8
5605,38,2,2,0,7,1,0,9,3,4
5618,40,0,3,1,9,0,0,16,2,8
