,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5353,50,2,2,3,8,5,1,12,2,6
5374,58,3,4,1,6,9,3,13,0,8
5381,55,5,3,0,8,7,5,21,0,5
5403,62,0,6,1,8,4,1,13,2,4
5415,49,0,1,0,15,1,3,7,1,9
5423,46,3,4,1,9,1,0,16,1,10
5442,42,4,1,1,9,0,2,12,3,9
5458,44,3,4,3,11,1,1,21,2,7
5479,24,1,1,0,5,3,0,11,1,7
5492,43,2,1,1,10,1,1,12,1,10
5499,59,0,7,3,9,5,1,14,3,4
5513,47,2,0,1,11,1,1,15,0,6
5528,57,3,3,1,6,0,0,15,1,6
5542,49,2,3,0,6,1,0,13,2,8
5556,66,1,4,2,8,4,1,17,3,5
5577,45,3,1,1,8,3,3,8,1,7
5590,55,0,0,3,5,3,1,13,3,8
5596,65,1,2,0,9,1,2,8,0,3
5612,67,1,1,0,11,2,2,14,2,8
