,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5353,26,0,2,0,10,2,1,5,4,7
5374,41,3,5,0,10,4,2,9,1,4
5380,48,3,3,5,5,4,2,7,1,4
5402,60,5,0,1,9,2,2,10,2,10
5416,65,2,1,3,9,5,3,14,1,6
5437,59,3,4,1,4,2,0,20,1,7
5451,55,3,2,2,6,3,1,15,0,8
5465,54,5,2,3,8,2,3,10,0,9
5492,47,2,3,3,6,6,5,9,4,6
5499,56,1,3,2,4,3,2,16,1,4
5513,47,2,1,2,10,4,2,11,0,3
5528,66,3,5,4,4,4,0,15,1,1
5542,48,6,2,0,6,3,0,15,2,5
5556,57,3,8,4,11,4,1,7,3,5
5574,56,0,0,0,6,2,1,11,1,9
5584,58,0,7,3,7,3,1,8,3,5
5594,40,3,1,2,13,4,0,5,1,3
5605,39,2,3,1,3,4,2,7,2,8
5612,52,0,2,0,8,1,4,20,2,6
