,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5338,45,2,4,3,8,1,2,16,1,6
5353,59,1,9,n,9,2,0,19,0,5
5374,35,1,3,n,7,1,0,3,0,10
5381,58,2,1,n,5,2,1,8,1,4
5415,58,3,5,n,11,2,0,8,0,7
5436,60,0,1,n,8,3,0,11,1,8
5444,63,1,5,n,13,4,0,16,0,8
5451,63,2,3,n,11,2,2,15,0,12
5542,67,4,3,0,6,0,0,11,0,11
5549,44,2,2,0,11,4,0,12,4,12
5569,76,4,1,0,7,2,1,9,0,12
5591,63,7,2,0,11,3,2,9,1,4
5604,63,4,1,1,7,4,0,7,2,4
5618,60,0,2,1,5,0,2,4,1,3
