,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5332,43,0,1,n,11,0,1,8,3,6
5346,51,0,4,n,9,2,0,12,1,12
5352,56,0,2,n,9,0,1,20,1,9
5373,38,1,3,n,9,3,1,10,2,7
5381,58,3,1,n,4,2,4,9,2,3
5401,54,0,5,n,7,2,1,10,2,7
5416,58,1,0,n,5,0,0,14,2,10
5436,58,5,4,n,5,1,0,11,1,6
5447,38,1,0,n,10,0,1,15,1,10
5457,41,1,3,n,6,0,0,7,3,5
5549,49,2,2,2,9,4,0,8,0,11
5569,40,3,2,2,5,2,1,10,5,4
5583,47,0,3,0,3,1,1,11,0,7
5597,57,1,1,0,4,2,0,7,1,6
5611,60,1,2,1,6,4,1,13,0,5
