,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5331,40,4,4,N,5,1,0,17,2,14
5345,54,2,2,N,7,1,1,19,0,7
5366,57,1,1,N,8,6,1,21,0,3
5377,52,0,4,N,14,1,1,11,2,5
5387,56,2,1,N,11,2,0,21,2,7
5408,55,3,2,N,8,1,1,10,3,6
5422,52,5,2,N,12,2,3,9,1,12
5436,40,1,6,N,9,2,1,17,0,7
5447,59,2,4,N,3,7,1,14,1,8
5457,59,4,4,N,5,2,1,9,1,5
5555,45,2,3,1,12,1,1,10,3,7
5583,58,0,0,0,9,0,1,19,0,9
5597,58,2,1,1,6,0,1,16,0,8
5611,67,1,1,0,7,3,1,15,2,5
