,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5331,58,0,4,N,3,1,0,17,1,4
5344,24,1,0,N,5,1,N,10,2,N
5367,41,0,5,N,7,4,1,9,0,8
5377,54,2,9,N,10,3,1,18,1,4
5387,54,0,2,N,14,0,0,20,2,13
5408,53,0,2,N,12,1,1,11,3,6
5422,45,0,7,N,7,0,2,20,3,5
5444,54,0,3,N,6,2,1,19,0,3
5451,37,1,2,N,15,1,2,7,2,9
5555,50,0,2,2,3,0,1,13,1,9
5577,34,1,0,1,6,4,0,18,0,9
5590,49,1,6,1,9,4,1,13,1,4
5604,49,2,0,2,12,1,0,19,0,8
5611,44,1,4,2,11,4,2,12,0,9
