,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5331,45,1,1,N,8,2,1,16,0,6
5345,35,1,0,N,7,1,2,12,3,7
5367,45,4,1,N,5,2,1,11,0,8
5377,61,0,2,N,14,3,3,11,1,3
5388,53,2,1,N,2,2,1,1,2,2
5409,44,2,3,N,3,1,3,17,2,7
5415,46,1,2,N,6,2,2,9,0,7
5436,42,1,7,N,7,4,1,11,4,4
5447,45,2,3,N,6,0,0,13,1,6
5458,34,1,5,N,9,2,0,8,1,4
5542,39,1,0,0,9,0,0,15,0,10
5569,24,0,2,0,12,0,0,4,2,8
5583,52,3,2,0,9,2,4,11,0,2
5597,59,0,1,3,8,2,3,21,0,7
5611,50,1,3,1,5,1,2,19,2,5
