,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5338,47,2,1,N,3,3,2,9,1,9
5352,54,2,6,N,10,2,2,18,0,5
5374,41,3,3,N,7,3,2,12,1,6
5381,43,1,4,N,7,0,0,16,0,5
5400,33,3,7,N,2,2,0,11,4,8
5422,48,1,3,N,6,0,2,10,0,5
5443,48,2,8,N,11,3,0,22,0,4
5451,57,1,6,N,4,4,0,18,0,6
5463,48,4,1,N,8,2,0,14,1,6
5548,56,3,3,0,6,4,0,17,1,4
5556,46,1,4,1,8,2,0,10,0,14
5577,51,2,2,0,4,3,1,21,1,2
5591,45,0,3,0,6,1,2,11,1,5
5605,45,2,2,0,4,1,1,11,3,4
5618,36,2,2,0,9,0,0,6,4,5
