,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5339,56,3,4,N,8,2,3,14,1,12
5351,61,4,6,N,7,5,2,13,1,5
5373,62,2,4,N,7,6,1,7,1,8
5381,61,4,4,N,4,3,1,8,2,3
5402,57,5,7,N,12,5,1,11,1,11
5416,57,4,5,N,12,8,1,12,2,4
5437,64,4,8,N,8,1,3,9,3,3
5442,65,3,4,N,8,3,2,13,2,2
5451,62,1,4,N,5,0,4,18,2,3
5549,56,4,2,0,12,2,2,12,2,10
5570,38,2,5,1,7,2,0,7,1,6
5589,64,1,3,0,6,3,3,15,0,6
5605,58,3,3,0,6,1,2,12,2,7
5618,63,3,4,1,11,2,2,9,0,2
