,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5331,54,3,4,N,2,1,1,11,2,1
5346,39,2,2,N,5,0,2,14,0,6
5352,47,4,2,N,5,1,0,11,0,8
5373,46,4,6,N,8,6,1,16,0,4
5381,42,1,6,N,5,4,1,9,2,4
5401,49,1,2,N,13,1,1,20,3,2
5416,42,3,4,N,10,6,1,14,0,4
5437,48,3,8,N,3,5,0,14,2,9
5446,50,1,6,N,8,1,0,16,0,5
5457,46,1,1,N,9,2,1,7,1,6
5548,54,2,0,3,10,2,1,22,0,2
5570,48,3,2,0,3,1,0,15,0,7
5582,36,1,1,1,10,2,0,16,0,11
5598,39,3,3,1,5,2,0,9,4,6
5611,55,3,1,2,3,4,4,12,0,5
