,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5367,60,3,3,1,11,2,2,9,0,6
5376,48,3,0,1,4,2,4,13,2,10
5381,64,3,2,3,10,7,2,8,1,6
5402,51,2,3,1,5,2,0,5,4,6
5412,49,3,3,2,6,1,2,7,3,6
5422,58,2,1,1,3,4,1,6,3,10
5451,46,6,1,2,4,8,0,10,2,5
5464,40,3,1,0,7,2,3,7,4,12
5485,39,1,3,2,6,0,0,16,2,10
5499,39,1,0,0,11,0,1,14,2,8
5513,44,1,0,2,8,4,1,11,5,6
5534,65,2,3,2,10,1,2,12,1,7
5550,54,1,1,1,5,7,3,4,2,10
5569,42,2,2,1,9,2,2,9,2,3
5584,40,2,0,0,9,2,3,4,1,6
5590,59,0,1,0,13,0,1,14,1,6
5598,23,1,1,0,6,1,0,10,2,4
5612,62,2,3,1,10,2,2,8,0,12
5625,62,4,0,2,7,5,1,11,0,5
