,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5366,61,1,2,1,3,0,0,8,2,3
5377,66,1,1,4,5,7,0,8,1,9
5388,55,2,2,0,7,2,0,5,1,13
5408,66,0,4,5,11,7,1,8,1,2
5415,58,1,1,1,11,0,0,8,2,4
5436,60,2,1,2,13,3,2,10,0,5
5458,65,5,2,1,6,2,0,19,1,5
5481,63,2,2,3,8,2,1,8,1,9
5492,61,0,2,0,7,1,0,18,1,7
5500,46,3,5,0,13,4,1,8,0,11
5514,70,2,4,1,6,6,0,10,3,5
5528,79,4,4,1,9,3,2,7,0,2
5542,55,2,3,1,7,4,0,12,0,7
5556,51,4,4,1,5,0,1,12,0,8
5577,62,1,7,1,4,1,0,12,1,4
5590,55,1,2,2,11,1,1,10,0,5
5594,47,3,1,0,7,1,0,14,1,11
5604,51,0,3,3,8,2,0,9,2,8
5620,37,0,0,1,10,2,1,9,2,9
