,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5367,35,1,1,2,6,4,1,15,3,9
5377,52,1,1,5,6,5,0,12,2,8
5388,48,0,2,0,7,2,0,4,1,9
5409,53,2,3,2,5,0,2,11,1,5
5416,30,1,0,0,7,3,0,11,0,10
5422,54,0,1,3,9,2,0,16,2,9
5444,40,0,3,1,4,2,0,17,2,13
5457,46,0,2,0,9,1,0,11,3,6
5481,38,2,0,1,8,2,0,7,3,8
5493,32,3,5,2,6,2,1,5,2,5
5500,48,2,5,0,5,0,0,13,2,6
5514,42,3,4,1,7,4,2,8,2,11
5526,31,2,0,0,4,2,3,9,3,7
5542,56,2,3,2,12,1,0,18,2,7
5556,42,2,3,2,7,5,0,10,4,8
5584,46,2,1,1,6,1,0,6,1,8
5594,41,1,2,2,16,1,2,24,2,10
5605,36,2,2,0,10,1,0,9,3,9
5619,66,2,3,3,11,4,1,12,2,8
