,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5352,34,1,1,1,7,0,0,11,1,2
5374,67,3,4,3,8,4,0,9,2,10
5381,62,5,1,4,5,2,0,11,1,4
5409,59,0,2,1,10,2,0,11,0,6
5416,65,3,3,3,8,6,1,13,0,14
5437,65,4,3,1,12,4,2,7,1,9
5444,47,3,3,2,10,5,2,7,2,10
5458,68,2,4,1,9,2,2,16,0,8
5481,73,7,3,1,9,1,1,13,0,8
5493,56,2,3,1,9,2,0,12,2,7
5506,55,1,0,1,13,0,0,10,1,9
5520,56,6,4,0,7,3,3,14,3,9
5535,43,1,1,2,9,1,1,12,0,8
5543,53,0,2,2,8,2,2,9,5,5
5556,68,1,1,3,4,1,1,10,0,2
5577,66,0,2,2,14,2,0,12,3,6
5594,42,1,3,3,8,6,1,5,2,7
5605,57,2,1,1,4,3,2,7,0,6
5619,58,2,3,0,8,5,1,9,1,7
