,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5352,75,2,6,4,5,6,0,16,1,4
5373,60,2,5,2,5,3,0,13,3,9
5380,59,3,5,2,7,1,0,7,0,8
5401,61,6,4,1,10,2,4,16,0,6
5412,53,2,3,3,11,6,3,17,0,7
5415,60,2,2,4,5,3,2,18,1,9
5436,49,1,3,2,5,2,1,7,1,9
5449,46,1,3,0,8,3,0,9,0,10
5462,61,3,2,0,10,4,0,10,1,4
5486,61,3,0,2,4,1,2,10,0,5
5507,70,1,5,2,9,5,2,16,2,5
5521,67,4,4,1,6,2,0,18,3,6
5536,36,0,2,2,6,4,0,10,0,7
5548,52,1,6,0,8,1,2,8,0,11
5576,68,3,2,8,9,4,1,16,0,4
5591,48,2,2,1,6,0,0,7,1,7
5597,53,2,3,2,9,2,2,15,0,6
5611,34,3,2,2,9,3,2,4,3,4
5625,58,2,4,2,8,1,2,3,1,5
