,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5353,48,3,3,1,10,1,0,9,1,8
5374,51,1,4,1,10,1,0,6,0,3
5380,28,3,2,2,9,2,1,6,2,2
5409,24,3,0,0,4,0,2,7,7,2
5417,54,0,3,2,7,2,2,11,1,11
5423,23,2,1,1,6,2,0,9,2,4
5443,45,1,4,1,6,1,1,7,1,7
5458,48,3,2,1,4,5,1,11,3,4
5481,43,2,0,0,10,1,3,10,2,6
5493,36,0,2,0,5,0,1,10,3,6
5507,37,2,0,1,8,2,1,8,1,5
5521,43,2,0,3,12,3,1,8,0,17
5535,34,1,2,0,9,0,1,7,0,12
5541,31,3,2,1,5,1,1,11,1,9
5556,41,0,0,1,6,0,0,11,3,6
5585,38,1,0,3,8,3,1,5,2,11
5594,36,1,2,0,11,3,3,13,2,7
5605,51,3,4,4,11,2,1,6,1,9
5619,47,1,2,0,3,1,0,4,5,5
