,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5367,65,3,4,3,10,6,2,16,0,4
5377,45,3,1,2,11,2,0,3,1,7
5402,51,1,3,3,10,3,2,9,3,7
5412,51,4,4,1,7,3,0,10,2,6
5423,45,3,1,1,11,2,1,12,4,11
5444,53,2,1,1,12,5,2,13,2,8
5452,57,0,3,1,11,0,2,17,2,7
5462,39,1,1,4,4,4,1,13,1,9
5486,44,3,0,0,10,1,0,20,1,12
5499,46,1,0,2,6,2,1,10,0,10
5514,30,3,0,1,5,2,2,6,1,4
5529,31,1,2,0,9,1,3,7,5,10
5535,66,0,4,6,13,4,1,12,0,8
5548,40,4,4,2,6,4,0,11,1,8
5569,39,2,0,2,7,1,3,18,2,8
5584,37,2,0,1,10,1,1,14,1,6
5599,54,5,1,2,7,3,0,13,1,2
5612,49,4,5,1,10,2,1,14,1,4
5626,52,4,2,2,7,0,1,16,2,8
