,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5352,25,1,4,0,6,2,1,11,1,6
5374,40,1,2,3,9,0,2,12,1,11
5381,44,3,5,3,7,3,4,15,1,7
5409,43,3,4,2,14,2,4,23,1,12
5416,46,1,2,4,7,2,1,16,2,8
5423,59,2,5,1,10,5,1,13,0,10
5443,32,2,2,0,4,1,0,13,2,5
5459,33,2,1,1,11,5,3,6,3,7
5481,55,4,3,3,6,5,1,7,1,6
5493,44,2,2,3,7,3,2,16,1,7
5507,43,0,9,0,11,1,2,5,-1,3
5521,30,2,2,0,6,0,1,8,1,5
5534,35,1,1,2,9,3,2,7,2,8
5542,45,0,3,3,7,3,1,13,2,8
5555,29,2,2,3,7,1,2,16,1,9
5584,2,2,1,2,9,0,0,17,1,7
5594,47,1,5,0,6,1,1,7,1,9
5605,49,3,1,1,9,2,1,10,1,10
5619,34,2,0,0,9,1,0,7,2,11
