,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5353,37,1,2,0,5,4,1,4,0,6
5374,49,0,5,1,3,2,2,9,1,8
5381,38,1,4,1,5,3,1,8,5,4
5402,49,0,4,3,3,1,1,4,2,10
5412,59,2,2,3,6,2,1,13,0,6
5416,70,0,3,2,10,5,0,13,1,7
5437,58,3,2,4,5,3,3,12,0,7
5450,56,2,3,2,9,2,0,10,0,5
5465,46,1,4,0,14,0,3,10,3,9
5485,61,2,8,0,10,2,1,7,0,6
5507,40,4,6,0,12,4,2,5,0,5
5521,46,2,3,1,7,2,3,8,1,11
5535,52,1,3,1,6,0,0,9,2,4
5550,38,1,1,0,9,2,0,12,2,4
5577,38,1,2,2,4,1,2,6,1,2
5591,52,2,3,2,7,2,2,6,1,4
5601,57,1,5,0,4,0,3,19,3,7
5612,57,2,7,4,5,2,0,12,1,4
5626,57,6,6,0,9,2,2,8,0,3
