,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5353,46,1,2,2,6,3,3,7,0,6
5374,43,0,4,1,6,0,0,14,1,6
5382,42,2,1,0,9,1,0,18,3,5
5388,61,0,4,1,5,4,1,17,2,5
5409,47,3,6,1,8,2,0,10,2,6
5416,43,2,3,0,6,4,0,8,2,4
5437,59,2,1,0,8,1,1,9,3,4
5458,52,4,2,1,4,0,0,3,2,5
5481,37,1,2,2,10,1,1,12,1,7
5493,55,1,1,3,12,3,0,12,1,8
5507,30,2,4,0,7,1,3,6,1,6
5521,40,3,1,1,9,2,3,16,0,8
5542,53,3,4,0,10,1,0,10,2,7
5556,32,1,2,2,2,5,2,11,1,2
5577,55,0,2,2,7,1,3,13,1,7
5590,41,1,8,4,7,7,4,14,0,9
5593,37,0,3,0,9,3,1,7,5,4
5605,45,0,5,1,10,3,0,9,2,5
5619,58,1,5,3,6,7,0,14,2,5
