,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5702,39,6,0,1,6,1,1,n,0,6
5716,42,0,1,0,3,1,1,n,1,11
5737,43,2,3,1,6,2,1,n,0,3
5751,37,2,6,1,2,3,1,n,0,1
5765,45,2,4,1,5,4,0,n,2,5
5779,58,2,2,4,2,2,1,n,0,3
5800,49,3,1,4,5,4,1,n,0,7
5814,38,4,1,0,3,3,0,n,0,8
5828,32,1,3,0,4,2,0,n,1,7
5835,33,1,2,0,6,2,0,n,3,5
5853,34,1,2,0,7,2,1,n,3,4
5856,44,4,1,2,10,1,2,n,2,5
5877,27,3,2,1,4,1,0,n,1,8
5885,33,3,2,0,10,1,2,n,0,2
5905,44,3,2,0,3,4,0,n,1,6
5919,50,3,0,0,7,2,0,n,2,5
5941,52,1,5,3,9,5,0,n,1,6
5962,28,1,3,1,10,2,0,n,2,2
5976,42,1,3,3,6,3,0,n,3,4
