,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5696,48,0,0,3,5,3,2,13,1,9
5711,43,5,3,3,6,6,4,n,1,5
5730,38,0,1,0,5,0,2,n,0,6
5752,51,3,4,2,5,8,0,n,2,7
5765,47,2,1,4,5,4,3,n,2,8
5779,65,4,2,1,5,2,2,n,0,10
5800,37,4,2,0,1,1,4,n,0,5
5815,59,0,2,2,3,5,0,n,0,6
5829,64,1,0,1,2,4,4,n,1,5
5839,66,3,3,3,4,4,0,n,1,7
5842,62,1,3,7,5,3,1,n,2,4
5863,52,1,2,2,7,1,1,n,0,6
5873,58,1,2,4,7,8,1,n,4,3
5885,62,4,1,1,5,2,0,n,0,4
5906,63,0,2,3,7,4,2,n,3,10
5920,53,6,1,5,7,4,1,n,0,8
5948,47,5,3,3,7,1,2,n,1,4
5962,52,2,3,2,6,2,0,n,5,7
5976,69,3,2,1,8,2,0,n,0,4
