,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5697,71,3,1,7,5,3,0,6,0,3
5710,51,5,1,3,3,3,1,n,1,5
5730,54,4,1,2,10,0,0,n,1,8
5744,41,4,3,4,7,5,2,n,3,3
5773,41,0,2,2,7,3,0,n,0,9
5787,52,1,1,1,4,3,1,n,0,4
5814,58,2,2,0,7,3,0,n,0,5
5830,60,1,4,2,6,4,0,n,0,9
5838,63,4,6,1,6,6,0,n,1,4
5842,54,2,4,2,4,0,0,n,2,4
5863,53,1,1,1,7,2,0,n,1,6
5873,59,1,3,1,4,2,1,n,1,9
5902,46,0,2,0,10,1,1,n,1,5
5912,61,3,2,3,10,3,1,n,0,4
5933,55,4,7,0,4,3,1,n,1,4
5947,48,5,0,0,6,3,1,n,1,8
5950,55,1,1,0,3,0,3,n,1,4
5962,54,3,0,0,6,2,0,n,1,2
5976,45,5,6,2,3,1,1,n,0,9
