,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5701,53,1,2,2,8,1,0,n,0,3
5717,62,2,4,1,4,1,0,n,1,7
5738,58,1,2,1,3,3,1,n,2,4
5752,50,2,0,0,7,2,2,n,0,5
5765,56,3,1,1,4,1,0,n,1,4
5779,61,1,1,0,4,2,1,n,4,6
5800,60,2,1,1,5,4,3,n,0,5
5807,66,1,2,3,3,5,0,n,1,4
5821,59,4,2,0,6,3,1,n,2,7
5835,54,3,2,1,7,7,0,n,0,9
5852,44,2,3,3,5,3,0,n,1,7
5857,50,0,1,1,5,2,0,n,1,5
5878,60,3,2,3,7,10,0,n,1,2
5884,69,3,0,2,4,5,4,n,0,5
5906,58,1,0,1,4,2,0,n,1,6
5920,51,2,0,0,7,2,1,n,2,9
5941,60,0,0,2,8,3,1,n,0,4
5968,62,1,1,6,7,3,1,n,1,7
5971,62,0,1,0,4,1,0,n,2,6
