,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5702,52,5,3,3,6,3,1,n,0,3
5717,34,0,1,1,3,1,0,n,2,7
5738,42,0,2,0,4,0,1,n,2,9
5744,57,2,3,1,4,1,0,n,2,9
5766,52,2,1,2,5,1,1,n,0,3
5779,29,1,1,1,5,2,0,n,3,4
5800,40,1,1,1,6,3,0,n,3,3
5814,44,0,2,0,6,0,3,n,1,4
5828,30,1,1,0,3,0,0,n,0,6
5835,39,2,4,1,3,3,3,n,3,9
5853,46,1,2,0,3,3,1,n,1,5
5856,47,2,1,1,5,0,2,n,1,3
5877,42,2,2,0,6,2,3,n,0,7
5898,38,1,3,1,4,3,3,n,0,7
5905,42,2,0,0,9,0,2,n,0,7
5919,47,0,3,2,4,2,2,n,0,4
5940,44,0,3,2,6,2,1,n,1,5
5961,31,3,4,0,7,0,1,n,0,2
5976,54,1,4,2,5,5,0,n,4,6
