,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5701,47,0,1,0,3,1,4,N,0,4
5716,65,3,5,2,7,3,0,N,0,2
5737,52,0,2,3,5,0,1,N,2,3
5751,42,1,1,0,7,2,0,N,2,5
5772,50,1,3,0,4,2,0,N,0,6
5787,48,0,2,0,5,0,1,N,1,3
5807,69,5,4,2,6,7,3,N,2,5
5822,41,1,4,1,5,1,1,N,0,6
5835,54,3,2,0,4,5,2,N,1,6
5852,57,1,2,6,7,4,0,N,0,5
5856,56,2,2,1,7,1,1,N,3,10
5877,58,1,2,2,10,1,1,N,2,5
5885,38,0,1,0,4,0,0,N,2,5
5901,40,3,1,2,5,3,0,N,1,6
5913,42,1,1,1,5,3,1,N,5,4
5933,43,3,4,3,6,2,0,N,1,6
5940,42,0,3,0,7,0,1,N,1,6
5954,46,3,5,2,9,3,0,N,0,2
5968,54,0,1,0,5,0,0,N,1,4
