,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5695,64,1,6,1,14,1,1,13,2,6
5709,43,3,4,2,7,1,1,N,0,9
5730,50,1,3,0,6,1,0,N,1,7
5751,63,0,3,1,2,3,1,N,1,2
5772,63,2,4,3,1,5,2,N,2,7
5786,28,1,2,0,4,2,2,N,0,3
5808,33,2,1,0,4,0,2,N,1,5
5821,45,0,2,0,4,2,0,N,1,4
5837,50,1,2,1,10,1,1,N,2,5
5842,42,0,4,0,3,1,2,N,4,5
5863,48,2,0,1,7,3,1,N,0,6
5873,37,1,3,0,4,3,3,N,3,3
5884,52,0,5,0,13,2,1,N,1,9
5901,43,0,1,1,3,0,2,N,0,11
5912,39,0,3,1,5,2,2,N,3,8
5933,44,4,1,0,7,2,2,N,0,3
5947,58,3,0,4,6,6,1,N,0,4
5968,38,1,0,2,8,1,0,N,1,7
5972,59,5,3,3,6,4,3,N,2,2
