,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5702,57,3,3,3,6,3,2,N,2,2
5717,38,1,3,1,7,0,1,N,2,3
5737,46,1,2,2,4,1,0,N,1,4
5752,42,2,1,2,8,2,0,N,5,5
5767,46,1,3,0,12,1,0,N,0,4
5779,56,1,1,2,1,2,3,N,1,7
5800,41,4,1,1,10,2,0,N,1,1
5814,62,0,1,0,8,1,1,N,2,2
5829,74,1,4,3,4,4,1,N,1,3
5835,59,2,2,0,8,0,0,N,0,4
5853,57,3,2,1,5,5,0,N,1,4
5858,66,2,2,3,6,4,3,N,1,3
5877,60,1,2,2,6,2,1,N,0,8
5884,54,1,3,1,7,1,0,N,2,4
5905,58,0,3,0,9,0,2,N,2,7
5919,49,0,4,2,2,4,1,N,1,2
5940,45,4,1,0,9,1,1,N,1,8
5962,48,7,2,2,6,3,1,N,2,5
5976,55,1,1,1,9,3,2,N,4,1
