,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5702,58,5,0,1,11,3,2,N,2,6
5716,49,4,3,3,3,3,0,N,2,7
5738,61,3,4,4,6,4,1,N,3,6
5744,59,4,2,2,5,4,4,N,3,3
5765,53,2,3,4,11,6,1,N,2,4
5781,68,3,2,1,7,2,2,N,1,3
5801,63,4,3,3,5,4,1,N,2,4
5808,59,3,2,2,5,3,0,N,0,7
5822,58,4,4,3,11,4,2,N,0,6
5835,61,5,3,0,12,7,1,N,2,2
5853,66,3,3,4,5,7,2,N,1,5
5856,70,5,5,5,9,6,0,N,1,6
5877,67,3,5,4,5,9,2,N,0,7
5899,59,5,5,1,10,2,1,N,1,3
5905,54,4,1,5,6,3,1,N,1,4
5920,68,4,3,1,6,4,2,N,0,5
5941,40,0,3,1,5,1,2,N,0,6
5956,72,2,4,6,8,6,0,N,0,2
5969,69,5,4,2,6,4,0,N,0,6
