,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5702,63,3,4,1,3,2,0,N,0,3
5710,53,0,1,2,4,1,1,N,2,6
5730,48,1,3,3,10,1,0,N,2,7
5745,54,1,5,2,8,4,0,N,1,8
5765,35,1,3,0,7,1,0,N,2,3
5779,53,3,2,6,N,6,2,N,2,4
5800,40,0,2,0,8,1,1,N,1,4
5814,56,2,1,2,6,2,3,N,0,3
5829,36,3,0,1,9,4,1,N,1,1
5837,44,1,4,1,6,1,1,N,0,5
5842,46,2,3,1,4,2,0,N,2,4
5863,56,2,3,1,5,1,0,N,1,4
5874,45,3,0,7,8,3,0,N,0,5
5898,48,1,2,2,8,4,2,N,0,8
5905,56,1,2,2,6,1,1,N,3,2
5919,43,1,2,1,11,5,1,N,1,6
5940,41,3,3,2,7,4,2,N,2,8
5961,64,2,6,2,6,4,1,N,0,3
5976,51,3,5,3,6,2,1,N,1,1
