,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5717,39,3,3,2,11,1,0,n,5,7
5737,61,3,5,1,7,1,1,n,1,1
5744,48,2,1,1,5,1,0,n,1,8
5766,51,1,1,1,9,1,1,n,0,4
5778,69,3,3,4,3,4,0,n,0,5
5801,57,3,4,0,5,5,0,n,1,4
5814,58,2,2,2,5,2,2,n,1,5
5829,41,1,1,1,5,0,1,n,2,5
5839,38,3,5,0,5,4,3,n,1,8
5850,45,0,4,2,7,2,1,n,1,10
5857,43,1,0,1,2,1,0,n,3,9
5870,30,2,3,0,5,3,1,n,1,11
5885,47,2,1,1,6,1,0,n,0,3
5898,33,2,2,1,8,5,2,n,1,8
5906,47,2,7,1,5,3,0,n,1,6
5919,42,1,1,1,8,1,1,n,0,1
5940,54,2,4,2,9,1,0,n,1,6
5951,35,1,2,2,4,1,1,n,2,3
5969,38,1,5,2,4,1,1,n,1,4
