,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5716,34,1,2,1,5,0,2,n,1,8
5738,38,3,0,0,3,1,2,n,1,5
5741,32,1,1,1,5,1,1,n,1,8
5751,50,1,3,1,9,0,2,n,2,6
5774,44,0,2,1,2,0,1,n,2,7
5787,29,1,3,0,5,0,0,n,0,11
5807,33,1,2,1,5,1,1,n,2,4
5821,28,1,2,0,6,1,0,n,1,7
5839,37,0,1,0,5,3,2,n,1,11
5850,49,1,2,0,4,2,2,n,1,6
5857,27,1,0,3,8,1,0,n,2,7
5871,37,0,2,0,4,1,0,n,3,13
5891,52,2,1,0,10,2,0,n,1,13
5903,43,0,0,3,11,1,0,n,4,8
5911,47,1,1,1,8,2,2,n,0,7
5935,45,1,3,3,11,3,2,n,2,7
5947,41,0,5,0,7,7,0,n,1,11
5954,29,3,1,1,6,1,0,n,2,5
5969,53,1,1,2,10,2,0,n,4,6
