,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5708,49,1,6,0,9,1,0,n,2,4
5729,51,2,1,0,1,1,0,n,1,6
5741,52,1,3,0,9,0,3,n,1,8
5765,54,2,0,2,4,1,0,n,1,5
5779,49,0,1,0,9,1,4,n,2,6
5800,39,2,1,0,3,3,1,n,2,10
5814,56,0,4,1,5,2,1,n,1,3
5828,51,1,0,3,10,5,2,n,0,10
5843,56,2,2,0,7,2,3,n,1,5
5864,34,1,3,2,8,4,0,n,0,7
5878,32,2,1,2,9,4,0,n,1,8
5892,37,5,1,1,6,7,3,n,0,9
5899,29,2,1,2,5,3,0,n,2,4
5905,51,3,1,0,8,4,2,n,2,7
5920,38,2,1,1,6,6,2,n,8,4
5941,37,0,0,1,4,1,0,n,5,9
5951,47,3,5,1,5,2,0,n,0,9
5962,58,0,5,0,6,2,1,n,1,6
5975,50,2,2,0,7,6,2,n,3,7
