,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5716,68,5,2,1,12,7,0,N,1,2
5738,73,3,6,4,11,3,2,N,0,6
5744,72,1,2,3,15,1,1,N,2,5
5765,54,5,3,0,8,6,2,N,2,1
5773,72,2,6,0,5,4,2,N,3,4
5787,65,3,3,3,12,4,2,N,1,6
5807,59,3,1,0,7,4,3,N,0,5
5821,71,4,6,0,8,3,2,N,1,3
5839,69,2,3,1,9,0,2,N,1,7
5849,68,5,6,0,10,6,1,N,0,6
5857,75,3,8,2,2,4,3,N,1,2
5870,70,3,1,2,11,1,1,N,1,4
5885,61,3,5,0,10,0,1,N,2,4
5899,71,3,2,3,4,4,0,N,1,5
5912,77,5,3,1,9,4,1,N,0,5
5933,58,1,4,1,10,0,2,3,1,12
5948,71,4,4,5,7,5,2,N,0,7
5954,71,3,3,2,3,3,0,N,3,7
5969,68,3,2,2,14,5,1,N,1,5
