,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5710,60,0,5,1,10,2,1,N,1,3
5730,53,2,5,1,7,2,1,N,1,9
5742,58,0,3,0,9,2,2,N,1,6
5765,59,2,6,0,15,1,4,N,0,9
5780,47,1,0,4,8,2,2,N,2,7
5801,43,1,2,0,4,1,0,N,2,5
5814,54,2,3,3,11,2,2,N,0,7
5828,49,0,4,1,12,4,0,N,1,10
5843,62,1,1,0,9,4,1,N,0,7
5864,45,2,1,0,8,1,0,N,2,9
5878,49,1,1,0,10,3,1,N,0,11
5891,48,1,2,4,12,3,1,N,2,9
5898,35,3,4,3,8,2,1,N,0,5
5906,53,2,2,1,12,4,0,N,2,6
5919,50,1,2,3,7,1,1,N,4,9
5940,53,1,1,0,11,3,1,N,1,5
5950,40,1,3,1,6,3,1,N,0,3
5961,28,1,0,1,6,2,1,N,1,4
5976,61,1,1,0,12,1,0,N,2,4
