,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5708,51,2,6,3,4,4,0,N,1,9
5731,59,3,2,0,5,4,1,N,0,3
5741,62,1,2,0,11,4,0,N,3,9
5751,42,5,2,1,11,1,0,N,2,5
5772,53,2,2,2,7,3,0,N,1,6
5786,55,3,4,1,4,4,0,N,1,6
5807,55,3,1,2,9,5,3,N,1,10
5829,59,2,5,0,6,1,0,N,1,6
5842,41,2,0,0,7,2,0,N,0,14
5863,32,4,3,2,5,4,0,N,3,7
5876,46,3,1,1,5,1,0,N,2,6
5892,40,2,2,1,6,2,2,N,4,8
5902,37,1,1,1,7,1,1,N,0,11
5911,53,1,2,3,9,1,1,N,1,6
5934,66,1,3,0,9,2,2,N,0,4
5948,44,3,1,1,7,3,2,N,1,10
5951,44,1,3,2,4,3,0,N,1,8
5963,57,5,3,0,6,7,1,N,2,9
5976,42,4,1,3,8,2,0,N,3,9
