,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5709,52,3,1,1,4,0,0,N,3,10
5732,65,2,2,1,8,4,2,N,2,5
5741,68,2,2,3,7,3,1,N,1,4
5752,65,3,7,1,8,3,1,N,1,6
5771,65,3,2,2,7,5,2,N,1,9
5786,47,2,1,1,11,3,3,N,1,8
5808,63,1,2,1,10,1,2,N,1,10
5822,54,2,2,3,13,4,2,N,0,5
5839,62,1,3,1,11,3,0,N,3,5
5843,44,2,2,1,6,2,5,N,1,9
5863,59,7,7,3,11,4,0,N,0,7
5877,49,5,5,0,11,2,0,N,2,8
5892,63,1,2,0,13,1,0,N,3,7
5903,43,2,1,0,7,2,1,N,1,10
5912,60,2,2,1,5,5,3,N,0,8
5932,62,4,3,2,7,5,2,N,2,6
5948,65,5,1,4,2,3,0,N,1,3
5954,38,4,2,2,5,2,3,N,0,3
5976,51,5,3,2,2,5,0,N,0,7
