,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5716,66,5,3,1,9,4,3,N,0,5
5737,68,6,4,0,7,6,2,N,2,3
5744,60,3,8,2,6,8,3,N,1,3
5765,49,2,5,1,5,3,3,7,3,7
5779,56,6,2,0,N,2,3,N,3,5
5800,37,1,0,0,6,1,1,N,2,5
5814,63,7,4,1,7,2,0,N,1,4
5829,53,6,6,1,9,4,2,N,1,4
5839,58,7,4,1,3,7,1,N,1,4
5849,56,4,5,2,1,3,1,N,3,5
5857,73,7,3,2,6,3,5,N,1,3
5871,73,5,4,3,13,2,4,N,1,5
5884,64,6,1,2,4,2,4,N,1,2
5898,67,1,4,2,10,1,1,N,2,7
5905,55,4,2,1,7,6,0,N,1,9
5920,62,9,2,3,6,5,4,N,2,4
5940,64,5,2,0,4,3,1,N,1,6
5951,66,3,4,2,6,6,1,N,1,5
5969,50,5,4,1,6,3,0,N,1,3
