,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5717,51,1,0,1,12,2,1,N,0,6
5737,56,2,2,1,7,1,1,N,1,8
5743,45,2,2,0,9,6,1,N,2,11
5765,58,2,0,0,11,5,2,N,1,5
5779,57,1,2,0,11,2,3,N,1,13
5800,40,2,1,1,2,0,2,N,2,14
5814,32,0,2,2,8,0,0,N,1,8
5828,59,3,2,0,10,3,1,N,0,8
5843,41,1,2,4,8,3,0,N,0,7
5857,45,1,1,1,5,3,1,N,3,9
5871,63,3,5,1,13,2,0,N,0,5
5884,62,2,4,4,11,4,1,N,2,5
5899,49,0,2,0,4,2,1,N,0,6
5906,53,2,1,2,5,3,0,N,1,5
5920,40,2,5,0,10,1,1,N,2,6
5941,63,6,9,2,10,8,1,N,0,3
5951,59,4,1,0,5,3,0,N,0,1
5962,61,1,3,1,8,2,0,N,1,3
5974,49,0,3,0,11,4,0,N,1,7
