,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5703,31,1,1,0,8,2,0,n,1,6
5717,36,1,4,0,5,0,0,n,1,2
5731,40,0,2,0,11,0,0,n,3,6
5741,32,1,1,1,3,1,3,n,3,4
5751,38,1,1,1,5,2,0,n,3,9
5772,53,1,2,0,7,2,1,n,1,7
5786,41,0,2,n,8,3,1,n,0,7
5807,49,0,2,n,14,0,2,n,2,3
5821,46,1,3,n,8,1,2,n,1,11
5848,37,0,3,n,12,0,3,n,0,7
5863,44,1,1,n,6,0,2,n,0,7
5873,41,1,1,n,7,1,1,n,1,4
5884,47,1,5,n,9,4,3,n,2,9
5897,35,2,3,n,5,1,0,n,3,10
5920,55,1,1,n,4,1,1,n,1,8
5940,56,0,1,n,9,1,2,n,3,8
5955,47,4,3,n,14,2,2,n,1,3
5961,47,1,3,n,7,2,0,n,3,6
5975,51,3,2,n,5,2,0,n,6,6
