,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5703,55,1,1,1,7,3,3,n,2,7
5715,65,3,2,1,6,1,3,n,2,4
5741,63,0,2,0,3,4,0,n,1,6
5752,47,5,0,1,7,3,0,n,4,4
5773,50,3,4,n,5,3,0,n,0,9
5780,53,1,2,n,11,0,0,n,2,7
5801,60,3,5,n,7,5,1,n,3,4
5812,57,2,2,n,10,2,1,n,0,8
5829,53,2,1,n,6,2,2,n,1,7
5857,63,1,1,n,15,1,0,n,1,8
5864,34,2,1,n,8,2,1,n,2,8
5873,58,0,2,n,7,3,0,n,1,5
5885,56,3,2,n,9,4,1,n,1,7
5909,56,4,1,n,17,2,2,n,1,6
5912,60,1,3,n,8,2,1,n,5,3
5934,67,0,1,n,14,2,2,n,0,7
5948,61,0,2,n,9,0,1,n,1,7
5962,48,1,6,n,9,0,1,n,0,7
5975,63,0,8,n,5,10,2,n,1,2
