,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5710,44,0,2,1,6,1,0,n,1,3
5737,56,0,2,3,13,3,1,n,0,6
5744,39,3,2,0,7,2,2,n,2,5
5765,43,2,4,0,3,2,2,n,0,5
5773,50,1,2,n,5,1,0,n,0,7
5786,34,3,1,n,3,1,2,n,4,5
5807,39,2,7,n,6,2,1,n,3,5
5814,49,0,3,n,6,0,2,n,2,6
5849,37,0,3,n,11,0,0,n,1,8
5863,49,1,3,n,9,2,1,n,2,4
5874,46,3,6,n,7,4,1,n,0,7
5877,50,0,4,n,6,2,0,n,2,5
5884,43,3,1,n,9,1,4,n,1,4
5891,52,5,4,n,8,3,0,n,4,6
5905,35,3,5,n,4,3,0,n,0,3
5919,47,2,1,n,5,2,1,n,1,5
5940,38,0,4,n,7,3,0,n,2,7
5955,56,5,4,n,4,3,1,n,1,3
5968,49,0,1,n,6,1,3,n,0,9
