,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5709,71,1,3,0,7,6,1,N,1,6
5731,50,2,7,2,10,3,2,N,3,12
5741,52,1,3,1,8,2,2,N,2,1
5751,50,2,1,0,9,3,1,N,3,10
5772,48,5,8,N,4,5,2,N,0,7
5779,57,3,3,N,8,2,2,N,0,11
5807,49,2,8,N,8,4,0,N,0,6
5814,49,0,10,N,9,1,0,N,1,7
5829,52,4,2,N,5,4,1,N,1,11
5856,55,2,3,N,4,3,0,N,1,4
5870,58,2,2,N,7,1,1,N,0,9
5877,63,1,6,N,4,1,0,N,0,7
5884,57,2,4,N,8,3,1,N,0,8
5909,44,1,7,N,8,2,0,N,4,17
5912,58,1,7,N,4,2,1,N,3,5
5933,54,6,6,N,9,6,1,N,2,2
5947,45,4,1,N,6,0,2,N,1,7
5955,53,3,2,N,6,2,3,N,3,11
5968,25,0,2,N,9,2,1,N,0,6
