,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5694,46,1,0,3,11,0,0,5,0,4
5710,57,0,3,1,11,6,0,N,1,5
5716,61,4,3,2,10,5,2,N,2,5
5747,67,2,2,6,9,8,1,N,1,4
5750,62,3,6,3,5,4,0,N,0,6
5773,50,0,5,N,9,2,0,N,2,5
5786,59,0,5,N,8,4,2,N,0,5
5811,52,2,3,N,10,4,1,N,0,8
5821,55,1,5,N,4,1,0,N,2,8
5850,39,1,5,N,10,2,0,N,0,11
5863,51,3,7,N,4,6,2,N,1,8
5874,60,2,1,N,7,1,0,N,1,9
5878,53,3,6,N,2,4,0,N,0,5
5892,53,2,4,N,8,4,2,N,0,8
5905,54,1,0,N,6,0,0,N,1,9
5919,61,2,3,N,8,2,1,N,1,5
5941,57,1,1,N,9,2,0,N,1,8
5958,63,3,3,N,10,1,0,N,3,6
5968,56,3,8,N,11,4,1,N,0,7
