,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5701,58,2,4,0,8,3,2,N,0,9
5717,34,1,0,1,8,2,1,N,2,2
5738,59,3,3,1,7,1,1,N,2,5
5752,57,3,3,2,12,3,3,N,1,8
5764,42,3,5,0,10,1,0,N,1,9
5780,52,1,3,N,9,1,1,N,2,6
5800,55,3,3,N,9,5,0,N,1,2
5811,58,0,2,N,8,2,1,N,2,3
5822,53,1,2,N,10,2,1,N,0,10
5849,54,1,1,N,9,1,1,N,0,9
5864,52,3,7,N,9,3,1,N,1,10
5873,59,2,1,N,5,3,4,N,1,3
5877,47,2,4,N,6,5,1,N,0,4
5891,48,6,1,N,6,0,1,N,5,7
5911,46,3,2,N,6,4,1,N,2,7
5932,59,1,7,N,6,1,3,N,1,7
5948,39,1,7,N,8,4,2,N,0,8
5961,54,4,4,N,10,4,0,N,0,7
5975,46,4,3,N,11,4,2,N,0,3
