,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5695,55,2,2,0,6,0,0,14,0,7
5708,30,1,3,0,7,0,1,N,2,10
5730,45,4,2,2,12,4,0,N,1,6
5742,47,4,3,0,9,2,1,N,1,5
5745,52,3,3,2,11,5,1,N,2,4
5772,47,1,1,0,8,0,2,N,1,5
5786,47,1,4,N,3,1,0,N,0,4
5800,57,2,4,N,5,2,1,N,2,5
5811,55,1,5,N,7,3,2,N,1,3
5821,63,3,4,N,14,0,1,N,0,9
5849,50,0,3,N,5,3,3,N,1,8
5863,60,1,4,N,5,4,0,N,1,3
5873,42,1,4,N,5,2,2,N,0,6
5884,52,1,2,N,8,1,0,N,2,6
5898,53,1,3,N,10,2,2,N,0,8
5912,44,4,2,N,5,2,0,N,2,8
5939,41,2,3,N,4,3,0,N,2,5
5955,44,4,7,N,4,4,2,N,4,4
5968,52,0,7,N,5,6,1,N,1,4
