,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5695,49,1,1,0,12,1,1,7,0,10
5709,69,1,1,1,9,1,1,N,3,2
5730,74,0,2,4,12,0,0,N,1,6
5741,55,4,3,0,6,2,0,N,1,4
5780,58,1,2,N,17,4,0,N,0,9
5783,56,3,4,N,9,0,0,N,2,3
5799,45,4,3,N,2,1,2,N,0,8
5813,38,2,4,N,7,3,1,N,1,8
5827,54,4,1,N,7,2,1,N,2,7
5855,61,0,2,N,9,1,1,N,1,4
5863,61,2,2,N,11,2,1,N,1,9
5874,60,0,2,N,3,4,0,N,0,5
5885,44,1,2,N,8,0,3,N,2,6
5897,65,3,4,N,9,2,0,N,2,5
5905,65,1,6,N,3,3,1,N,2,3
5920,57,3,2,N,6,2,0,N,0,1
5941,64,4,2,N,7,2,2,N,0,3
5953,64,3,2,N,8,5,4,N,1,5
5968,55,0,3,N,8,2,1,N,1,8
