,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5702,48,0,3,0,5,0,2,N,1,8
5717,64,2,7,4,2,6,0,N,0,4
5738,48,1,3,3,6,1,1,N,0,6
5745,46,3,2,1,4,3,0,N,0,5
5765,51,4,3,11,10,4,1,N,0,6
5779,52,2,6,N,3,5,3,N,3,5
5801,40,3,4,N,5,2,1,N,2,6
5808,55,2,2,N,9,1,0,N,1,13
5815,54,2,6,N,4,10,3,N,1,6
5829,62,1,8,N,7,7,0,N,0,6
5857,35,1,2,N,6,1,1,N,3,10
5871,36,1,5,N,10,5,0,N,4,9
5885,57,5,8,N,5,8,3,N,0,5
5899,59,1,7,N,5,1,0,N,2,5
5919,46,0,3,N,9,2,5,N,1,8
5940,62,2,5,N,7,7,2,N,0,5
5955,54,1,3,N,9,2,1,N,0,7
5961,53,0,3,N,12,1,1,N,7,11
5975,51,3,1,N,6,3,0,N,2,8
