,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5709,62,3,2,1,n,4,0,n,2,8
5716,40,1,2,1,n,3,1,n,1,7
5738,42,1,2,0,n,1,2,n,3,9
5744,56,1,4,1,n,2,3,n,0,10
5765,57,3,3,3,n,4,0,n,1,5
5779,48,4,1,1,n,1,4,n,1,8
5800,59,6,0,1,n,6,2,n,0,5
5814,41,2,2,0,n,0,1,n,1,8
5828,51,0,2,0,n,1,2,n,2,8
5863,62,2,3,0,n,6,2,n,1,8
5884,59,1,3,2,n,5,0,n,3,5
5899,53,2,2,3,n,7,1,n,2,8
5905,51,2,4,3,n,3,2,n,2,8
5920,49,5,1,0,n,3,1,n,2,8
5941,57,4,1,1,n,5,3,n,2,4
5954,47,0,2,3,n,4,1,n,4,10
5968,40,3,1,2,n,1,1,n,2,2
