,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5709,74,4,3,2,n,2,6,n,0,4
5737,74,3,4,3,n,3,1,n,2,3
5744,68,3,5,0,n,2,1,n,0,6
5765,75,2,4,1,n,2,3,n,1,7
5778,61,1,3,0,n,3,2,n,0,8
5800,69,3,4,3,n,4,1,n,0,4
5814,57,4,5,3,n,3,3,n,2,5
5828,70,7,3,3,n,5,0,n,1,4
5862,71,1,3,1,n,3,1,n,1,4
5877,62,0,1,0,n,3,1,n,1,5
5885,65,4,4,2,n,1,0,n,1,5
5898,66,1,4,2,n,6,3,n,5,4
5905,56,2,4,2,n,4,3,n,2,7
5919,75,2,1,0,n,1,2,n,0,7
5940,75,1,3,1,n,3,4,n,1,9
5954,64,3,0,0,n,2,1,n,0,10
5968,58,4,2,0,n,1,4,n,3,6
