,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5703,40,2,2,1,n,2,4,n,0,11
5716,48,2,0,0,n,0,4,n,1,9
5737,47,1,1,0,n,2,3,n,2,10
5741,47,1,2,1,n,0,1,n,4,9
5751,57,0,2,0,n,1,1,n,0,5
5772,53,0,0,1,n,2,3,n,1,7
5786,48,6,3,1,n,2,3,n,2,8
5807,49,3,3,1,n,4,1,n,2,7
5822,30,2,0,0,n,1,1,n,4,3
5870,51,1,1,0,n,1,2,n,1,3
5884,50,2,3,3,n,5,2,n,1,8
5902,49,1,4,2,n,2,0,n,3,6
5912,35,0,0,0,n,0,1,n,2,8
5933,39,0,0,0,n,0,0,n,4,8
5947,36,2,0,1,n,1,1,n,3,8
5961,58,1,2,1,n,4,0,n,2,8
5975,43,2,0,1,n,2,1,n,0,6
5984,69,4,5,1,n,4,1,n,0,6
